Geography Type,Geography Name,Year,Population,Households,Persons Per Household (PPH)
County,Clearwater,2014,8794.00,3578.00,2.43
County,Cook,2014,5231.00,2546.00,2.03
County,Cottonwood,2014,11633.00,4864.00,2.34
County,Crow Wing,2014,63371.00,26484.00,2.36
County,Dakota,2014,411507.00,157319.00,2.6
County,Dodge,2014,20352.00,7586.00,2.66
County,Douglas,2014,36789.00,15757.00,2.3
County,Faribault,2014,14124.00,6166.00,2.25
County,Fillmore,2014,20783.00,8580.00,2.38
County,Freeborn,2014,30831.00,13123.00,2.3
County,Goodhue,2014,46480.00,18964.00,2.4
County,Grant,2014,5923.00,2609.00,2.24
County,Hennepin,2014,1210720.00,499094.00,2.37
County,Houston,2014,18766.00,7944.00,2.33
County,Hubbard,2014,20596.00,8788.00,2.32
County,Isanti,2014,38397.00,14245.00,2.66
County,Itasca,2014,45639.00,19088.00,2.33
County,Jackson,2014,10266.00,4460.00,2.28
County,Kanabec,2014,15966.00,6366.00,2.47
County,Kandiyohi,2014,42258.00,16825.00,2.45
County,Kittson,2014,4440.00,1949.00,2.22
County,Koochiching,2014,13018.00,5852.00,2.18
County,Lac qui Parle,2014,6922.00,3065.00,2.21
County,Lake,2014,10695.00,4808.00,2.18
County,Lake of the Woods,2014,3921.00,1762.00,2.19
County,Le Sueur,2014,27791.00,10844.00,2.54
County,Lincoln,2014,5788.00,2548.00,2.22
County,Lyon,2014,25746.00,10318.00,2.39
County,McLeod,2014,35942.00,14585.00,2.43
County,Mahnomen,2014,5503.00,2044.00,2.65
County,Marshall,2014,9420.00,3986.00,2.34
County,Martin,2014,20295.00,8955.00,2.23
County,Meeker,2014,23122.00,9185.00,2.48
County,Mille Lacs,2014,25862.00,10160.00,2.5
County,Morrison,2014,32859.00,13083.00,2.47
County,Mower,2014,39356.00,15928.00,2.43
County,Murray,2014,8475.00,3669.00,2.27
County,Nicollet,2014,33350.00,12534.00,2.43
County,Nobles,2014,21574.00,8016.00,2.64
County,Norman,2014,6643.00,2791.00,2.33
County,Olmsted,2014,150201.00,59365.00,2.49
County,Otter Tail,2014,57612.00,24295.00,2.32
County,Pennington,2014,14119.00,5964.00,2.31
County,Pine,2014,29196.00,11328.00,2.42
County,Pipestone,2014,9336.00,4014.00,2.27
County,Polk,2014,31545.00,12743.00,2.38
County,Pope,2014,10982.00,4771.00,2.26
County,Ramsey,2014,529506.00,209659.00,2.44
County,Red Lake,2014,4048.00,1727.00,2.32
County,Redwood,2014,15573.00,6497.00,2.34
County,Renville,2014,15067.00,6387.00,2.3
County,Rice,2014,65180.00,22764.00,2.54
County,Rock,2014,9555.00,3911.00,2.38
County,Roseau,2014,15663.00,6346.00,2.44
County,St. Louis,2014,200840.00,85706.00,2.24
County,Scott,2014,138727.00,47562.00,2.89
County,Sherburne,2014,91223.00,31077.00,2.86
County,Sibley,2014,14919.00,5972.00,2.46
County,Stearns,2014,153326.00,57603.00,2.53
County,Steele,2014,36532.00,14356.00,2.51
County,Stevens,2014,9836.00,3730.00,2.35
County,Swift,2014,9453.00,4183.00,2.22
County,Todd,2014,24266.00,9661.00,2.48
County,Traverse,2014,3392.00,1493.00,2.2
County,Wabasha,2014,21376.00,8806.00,2.4
County,Wadena,2014,13768.00,5729.00,2.32
County,Waseca,2014,19029.00,7303.00,2.43
County,Washington,2014,249109.00,91710.00,2.67
County,Watonwan,2014,11095.00,4504.00,2.43
County,Wilkin,2014,6503.00,2694.00,2.36
County,Winona,2014,51109.00,19714.00,2.37
County,Wright,2014,129946.00,46213.00,2.79
County,Yellow Medicine,2014,10127.00,4216.00,2.33
EDR,01 (Northwest),2014,85878.00,35506.00,2.36
EDR,02 (Headwaters),2014,84584.00,33593.00,2.44
EDR,03 (Arrowhead),2014,326761.00,138811.00,2.26
EDR,04 (West Central),2014,225505.00,92332.00,2.36
EDR,05 (North Central),2014,162834.00,66961.00,2.4
EDR,06E (Southwest Central),2014,116389.00,46982.00,2.43
EDR,06W (Upper MN Valley),2014,43758.00,18882.00,2.26
